date,1. open,2. high,3. low,4. close,5. volume,6. average
2019-08-07,83.8,85,82.33,84.6,3484563,83.665
2019-08-06,83.81,84.89,83.68,84.86,4422461,84.285
2019-08-05,84.73,84.88,82.415,83.16,6253772,83.6475
2019-08-02,85.95,86.2,84.74,85.82,4756375,85.47
2019-08-01,87.18,88.06,85.635,86.08,7022041,86.8475
2019-07-31,88.18,88.4,86.37,87.1,6197159,87.385
2019-07-30,88.18,88.73,87.85,88.31,2864651,88.29
2019-07-29,88.06,88.615,87.38,88.55,3623930,87.9975
2019-07-26,88.35,88.62,87.3,87.75,4177672,87.96
2019-07-25,88.27,88.47,87.74,88,4671289,88.105
2019-07-24,88.45,88.69,87.59,88.59,3879139,88.14
2019-07-23,88.1,88.76,87.53,88.74,4049242,88.145
2019-07-22,87.36,88.71,87.27,88.07,6566074,87.99
2019-07-19,88.29,88.325,87.45,87.49,5824075,87.8875
2019-07-18,86.24,87.84,85.32,87.76,8311763,86.58
2019-07-17,85.89,86.75,85.43,85.76,9381371,86.09
2019-07-16,84.11,84.24,82.9,83.16,3886747,83.57
2019-07-15,83.81,84.24,83.41,83.81,5177684,83.825
2019-07-12,85.28,85.44,83.055,83.92,5667227,84.2475
2019-07-11,85.65,85.99,85.185,85.77,3653628,85.5875
2019-07-10,85.68,85.88,85.15,85.38,4315910,85.515
2019-07-09,84.96,85.3699,84.82,85.27,3126024,85.09495
2019-07-08,85.28,85.28,84.69,85.09,3591105,84.985
2019-07-05,85.16,85.5,84.64,85.42,3784656,85.07
2019-07-03,85.05,85.65,84.92,85.64,2437460,85.285
2019-07-02,84.75,84.96,84.15,84.95,4023290,84.555
2019-07-01,84.74,84.98,83.75,84.49,4533799,84.365
2019-06-28,83.82,84.26,83.12,84.1,16436946,83.69
2019-06-27,83.39,83.975,83.07,83.69,4111620,83.5225
2019-06-26,84.05,84.3681,82.63,82.96,5731370,83.49905
2019-06-25,84.94,85.45,84.24,84.24,4915464,84.845
2019-06-24,84.78,85.33,84.64,84.71,4531625,84.985
2019-06-21,85.36,85.36,84.405,85,8855471,84.8825
2019-06-20,84.84,85.32,84.3186,84.94,6436372,84.8193
2019-06-19,83.4,84.495,83.05,84.33,4113451,83.7725
2019-06-18,82.45,83.59,81.9227,83.42,6252980,82.75635
2019-06-17,82.39,82.58,81.67,82.05,4095932,82.125
2019-06-14,82.17,82.855,82.02,82.22,4771105,82.4375
2019-06-13,81.98,82.33,81.75,82.29,5220434,82.04
2019-06-12,81.29,81.97,81.255,81.95,3332562,81.6125
2019-06-11,81.79,82,80.63,81.12,3905452,81.315
2019-06-10,81,81.495,80.44,81.27,3927050,80.9675
2019-06-07,80.49,81.16,80.3,80.74,5136407,80.73
2019-06-06,78.85,80.43,78.64,80.09,5966650,79.535
2019-06-05,77.84,78.85,77.83,78.69,5286485,78.34
2019-06-04,76.25,77.61,76.155,77.46,5836169,76.8825
2019-06-03,76.25,76.79,75.44,75.71,6286485,76.115
2019-05-31,75.97,76.52,75.6,76.13,6571012,76.06
2019-05-30,76.01,76.59,75.8747,76.52,3600295,76.23235
2019-05-29,75.37,75.97,74.94,75.67,4013124,75.455
2019-05-28,77.03,77.98,75.68,75.71,5418558,76.83
2019-05-24,76.02,77.075,75.96,76.98,4866347,76.5175
2019-05-23,76.14,76.14,75.3189,75.63,5506958,75.72945
2019-05-22,76.14,76.59,75.85,76.26,3062654,76.22
2019-05-21,76.56,76.82,76.02,76.03,3819675,76.42
2019-05-20,75.6,75.96,75.2,75.77,4493099,75.58
2019-05-17,76.29,77.21,75.96,75.97,5169349,76.585
2019-05-16,76.52,77.37,76.17,76.6,6098066,76.77
2019-05-15,75.5,77.02,75.22,76.51,4385516,76.12
2019-05-14,75.64,76.77,75.63,76.03,5319291,76.2
2019-05-13,75.17,75.785,74.96,75.5,5166977,75.3725
2019-05-10,76.21,76.66,74.535,76.45,3993531,75.5975
2019-05-09,75.66,76.48,74.88,76.42,3736727,75.68
2019-05-08,76.93,76.97,76.14,76.22,4362822,76.555
2019-05-07,78.5,78.87,76.2,76.91,5322549,77.535
2019-05-06,77.42,79.17,77.35,79.07,4006749,78.26
2019-05-03,78.83,79.13,78.26,78.69,5452725,78.695
2019-05-02,78.42,78.87,77.91,78.78,5112210,78.39
2019-05-01,79.35,79.47,78.29,78.74,6702454,78.88
2019-04-30,78.27,79.69,77.93,79.56,5514123,78.81
2019-04-29,78.56,78.6261,77.58,78.27,4355001,78.10305
2019-04-26,78.46,78.57,77.53,78.56,4286509,78.05
2019-04-25,76.62,78.175,76.37,78.11,6011693,77.2725
2019-04-24,76.05,76.87,75.67,76.75,6238700,76.27
2019-04-23,74.63,76.41,74.43,76.1,6823550,75.42
2019-04-22,73.13,74.6,73,74.51,5810683,73.8
2019-04-18,73.64,74.9,72.75,73.92,9712196,73.825
2019-04-17,76.18,76.29,72.36,72.88,11212434,74.325
2019-04-16,77.94,78.7,76.06,76.38,6227792,77.38
2019-04-15,78.11,78.455,77.46,77.5,6095197,77.9575
2019-04-12,78.37,78.85,77.82,78.01,5481957,78.335
2019-04-11,79.19,79.23,78.35,78.51,4432118,78.79
2019-04-10,78.72,79.42,78.555,78.97,5604667,78.9875
2019-04-09,78.24,78.9601,78.055,78.67,4836715,78.50755
2019-04-08,78.91,78.91,77.95,78.52,5178878,78.43
